d_case_no,d_name,d_last_kno_addr,c_case_type,c_violation,c_violation_date,c_location,c_plea,c_plea_ent_by,c_status,c_so_no,c_deposit_amt,c_in_collection,c_installment_plan,j_finding,j_penalty,j_balance_due,j_date,j_due_on_date,j_branch
15000950,007 FURNITURE LLC,"1301 W VLIET ST, MILWAUKEE, WI 53205",Traffic citation,"Statute TR327.03(1), Fed Reg/Safety - General",2014-12-12 09:39:00.000000,13TH ST N / VLIET ST W,No Contest,Court,Closed,S5477404,124,No,No,Guilty,124,0,2015-01-30,2015-03-31,1
15000951,007 FURNITURE LLC,"1301 W VLIET ST, MILWAUKEE, WI 53205",Traffic citation,"Statute 341.04(1), Non-Registration of Vehicle",2014-12-12 09:39:00.000000,13TH ST N / VLIET ST W,No Contest,Court,Closed,S5477415,187,No,No,Guilty,187,0,2015-01-30,2015-03-31,1
15000952,007 FURNITURE LLC,"1301 W VLIET ST, MILWAUKEE, WI 53205",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-12 09:39:00.000000,13TH ST N / VLIET ST W,No Contest,Court,Closed,S5477426,161.8,No,No,Guilty,161.8,0,2015-01-30,2015-03-31,1
15000953,007 FURNITURE LLC,"1301 W VLIET ST, MILWAUKEE, WI 53205",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-12 09:39:00.000000,13TH ST N / VLIET ST W,No Contest,Court,Closed,S5477430,161.8,No,No,Guilty,161.8,0,2015-01-30,2015-03-31,1
15000956,BEST QUALITY FURNITURE AND APPLIANCES,"1233 W VLIET, MILWAUKEE, WI 53205",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-12 11:38:00.000000,VLIET ST W / 13TH ST N,No Contest,Court,Closed,I1016735,161.8,No,No,Guilty,161.8,0,2015-01-30,2015-03-31,1
15001062,WHITEGLOVE ENVIROMENTAL,"8326 N STEVENS, MILWAUKEE, WI 53233",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-10 13:51:00.000000,CENTER ST W / 37TH ST N,No Contest,Thomas London,Closed,I1016702,161.8,No,No,Guilty,85,0,2015-01-30,2015-04-30,1
15001063,WHITEGLOVE ENVIROMENTAL,"8326 N STEVENS, MILWAUKEE, WI 53233",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-10 13:51:00.000000,CENTER ST W / 37TH ST N,No Contest,London Thomas,Closed,I1016713,187,No,No,Guilty,85,0,2015-01-30,2015-04-30,1
15001064,WHITEGLOVE ENVIROMENTAL,"8326 N STEVENS, MILWAUKEE, WI 53233",Traffic citation,"Statute TR327.03(4), Violation of Out of Service Notice",2014-12-10 13:51:00.000000,CENTER ST W / 37TH ST N,No Contest,London Thomas,Closed,I1016724,161.8,No,No,Guilty,100,0,2015-01-30,2015-04-30,1
15001184,L R VINCENT TRUCK AND SERVICE INC,"853 HOOPER ST, KINGSFORD, MI 49802",Traffic citation,"Statute TR325.02(4), Vehicle Equipment Violations",2014-12-20 17:46:00.000000,JACKSON ST N / KILBOURN AVE E,No Contest,Court,Closed,I8882333,98.8,No,No,Guilty,98.8,0,2015-02-02,2015-04-06,2
15001291,MILWAUKEE LIVING LLC,"2218 N 44TH ST, MILWAUKEE, WI 53208",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-23 00:00:00.000000,3726 W LISBON AVE,No Contest,Court,Closed,10994131,0,No,No,Guilty,580,0,2015-02-12,2015-04-13,1
15001292,SOUTHVIEW APARTMENTS LLC,"5126 MAPLEWOOD DRV, GREENDALE, WI 53129",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-20 00:00:00.000000,2007 W SCOTT ST,No Contest,Court,Active,11047051,0,No,No,Guilty,1130,1130,2015-02-12,2015-04-13,1
15001293,HEAD SOUTH INVESTMENTS LLC,"3040 S DELAWARE AVE, MILWAUKEE, WI 53207",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-05 00:00:00.000000,3040 S DELAWARE AVE,No Contest,Robert Messinger,Closed,10911441,0,No,No,Guilty,600,0,2015-05-12,2015-07-13,1
15001294,TIMBERLIN TRUCKING INC,"4982 SUTTON LN, GREENDALE, WI 53129",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-07 00:00:00.000000,4707 N 30 ST,No Contest,Court,Active,11024411,0,No,No,Guilty,4680,4680,2015-02-12,2015-04-13,1
15001295,THE NEHEMIAH PROJECT INC,"2508 W VLIET ST, Milwaukee, WI 53205",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-14 00:00:00.000000,2574 N CRAMER ST,No Contest,Mary Beth Dugan,Closed,10971991,0,No,No,Guilty,280,0,2015-05-28,2015-07-27,2
15001296,FARHAT HOLDINGS LLC,"21 PRAIRIE HILL CRT, MADISON, WI 53719",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-11 00:00:00.000000,5542 N 31 ST,No Contest,Court,Closed,10924211,0,Yes,No,Guilty,1030,0,2015-02-19,2015-04-20,2
15001441,2ND STREET PROPERTIES LLC,"625 S 5 ST, Milwaukee, WI 53204",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-07-16 00:00:00.000000,626 S 5 ST,No Contest,Jose Zarate,Closed,10333141,0,No,No,Guilty,330,0,2015-05-14,2015-07-13,3
15001443,FEDERAL NATIONAL MORTGAGE ASSN,"14221 Apt. 1000 DALLAS PKY, DALLAS, TX 75254",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-03-06 00:00:00.000000,4043 N 24 ST,No Contest,Court,Closed,10717521,0,No,No,Guilty,5050,0,2015-02-25,2015-04-27,A
15001444,A A P PROPERTY MANAGEMENT LLC,"511 W NATIONAL AVE, MILWAUKEE, WI 53204",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-07-11 00:00:00.000000,523 W NATIONAL AVE,No Contest,Phillip Goldner,Closed,10326071,0,No,No,Guilty,330,0,2015-05-21,2015-07-20,3
15001454,SS BEDRELL INC,"3662 N 7TH ST, MILWAUKEE, WI 53212",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-01-22 00:00:00.000000,3662 N 7 ST,No Contest,Defendant,Closed,10661841,0,No,No,Guilty,1230,0,2015-05-12,2015-05-12,1
15001458,GLOBAL PROPERTY DEVELOPMENT LLC,"934 W NASH ST, MILWAUKEE, WI 53206",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-03-25 00:00:00.000000,2830 N 11 ST,No Contest,Abdi Karim,Closed,10757251,0,No,No,Guilty,1230,0,2015-05-12,2015-07-13,1
15001459,PELOTON CLEMENT INVESTORS LLC,"6508 Apt. 9 S 27TH ST, OAK CREEK, WI 53154",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-10-02 00:00:00.000000,2451 N BREMEN ST,No Contest,Michael Poe,Closed,11126441,0,No,No,Guilty,3360,0,2015-05-14,2015-09-22,3
15001460,THE ELEVENTH MITCHELL THREE TRUST,"939 W GREENFIELD AVE, MILWAUKEE, WI 53204",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-09 00:00:00.000000,1659 S 11 ST,No Contest,Court,Active,11081211,0,No,No,Guilty,630,630,2015-02-25,2015-04-27,A
15001463,CORPORATION FOR FINANCIAL EDUCATION,"6728 N 56th ST, MILWAUKEE, WI 53223",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-05-15 00:00:00.000000,2876 N 36 ST,No Contest,Jasmin Johnson,Active,10887881,0,Yes,No,Guilty,2250,2230,2015-08-18,2015-10-19,1
15001464,J JOHNSON REALTY LLC,"4919 W MEDFORD, Milwaukee, WI 53216",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-14 00:00:00.000000,2917 N 8 ST,No Contest,Court,Active,11036821,0,Yes,No,Guilty,3730,3730,2015-02-12,2015-04-13,1
15001465,RESURRECTION POWER MINISTRIES INC,"5330 W LISBON AVE, MILWAUKEE, WI 53210",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-04-17 00:00:00.000000,3332 N 22 ST,No Contest,Rosie FlowersHarvey,Closed,10834891,0,No,No,Guilty,3435,0,2015-05-12,2015-09-04,1
15001466,WISCONSIN HOME BUYERS NETWORK LLC,"N112W16298 Apt. 103 MEQUON RD, GERMANTOWN, WI 53022",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-18 00:00:00.000000,2500 W BURLEIGH ST,No Contest,ra,Closed,10934151,0,No,No,Guilty,1330,0,2015-05-28,2017-07-24,2
15001820,HUNT & NEWMAN LLC,"500 W SILVER SPRING DRV, Milwaukee, WI 53217",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-18 00:00:00.000000,2672 N 41 ST,No Contest,Court,Active,10937231,0,Yes,No,Guilty,730,730,2015-02-12,2015-04-13,1
15001821,HILARIO PROPERTY MANAGEMENT LLC,"5321 N PORT WASHINGTON RD, GLENDALE, WI 53217",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-24 00:00:00.000000,2527 N TEUTONIA AVE,No Contest,Court,Active,11002891,0,Yes,No,Guilty,2130,2130,2015-02-12,2015-04-13,1
15001822,BAMBAM MULTI UNIT PROPERTIES LLC,"N52 W16858 OAKRIDGE TRL, MENOMONEE FALLS, WI 53051",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-27 00:00:00.000000,10418 W DEAN RD,No Contest,RA,Closed,10956711,0,No,No,Guilty,1030,0,2015-06-11,2016-02-22,3
15001823,GEORGE BOCKL LIVING TRUST,"117 Apt. 200 N JEFFERSON ST, MILWAUKEE, WI 53202",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-05 00:00:00.000000,250 N WATER ST,No Contest,Court,Closed,10911471,0,No,No,Guilty,280,0,2015-02-25,2015-05-26,A
15001824,2035 W WELLS LLC,"2039 W WELLS ST, MILWAUKEE, WI 53233",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-19 00:00:00.000000,2035 W WELLS ST,No Contest,Court,Closed,10935961,0,No,No,Guilty,980,0,2015-02-26,2015-07-27,3
15001825,KALIGARRI HOLDING LLC,"5714 W VLIET ST, MILWAUKEE, WI 53208",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-05-12 00:00:00.000000,4731 N 76 ST,No Contest,Defense Attorney,Closed,10928601,0,No,No,Guilty,380,0,2015-04-30,2015-07-29,3
15001949,NEW JERUSALEM EVANGELISTIC TEMPLE CORPOR,"5600 W BROWN DEER RD, BROWN DEER, WI 53223",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-30 00:00:00.000000,3054 N 10 ST,No Contest,Court,Closed,11006811,0,No,No,Guilty,5000,0,2015-02-18,2015-06-22,2
15001952,8634 LLC,"8200 W BROWNDEER RD, Milwaukee, WI 53223",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-03-14 00:00:00.000000,8634 W BROWN DEER RD,No Contest,Court,Closed,10734551,0,No,No,Guilty,530,0,2015-02-18,2015-04-20,A
15001953,J&G PROPERTIES AND INVESTMENTS TC LLC,"8687 N 107TH ST, MILWAUKEE, WI 53224",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-11 00:00:00.000000,4727 N 22 ST,No Contest,Court,Closed,10970371,0,Yes,No,Guilty,1330,0,2015-02-19,2015-04-20,2
15001963,BROADNAX REALTY #2 LLC,"8131 W CAPITOL DRV, Milwaukee, WI 53222",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-27 00:00:00.000000,928 W MEINECKE AVE,No Contest,Court,Active,11059711,0,No,No,Guilty,930,930,2015-02-18,2015-04-20,A
15001970,F & S REALTY LLC,"3133 Apt. D W WISCONSIN AVE, Milwaukee, WI 53208",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-10 00:00:00.000000,2203 W MELVINA ST,No Contest,Court,Closed,10923391,0,No,No,Guilty,1480,0,2015-02-18,2015-04-20,A
15002180,CAPITAL HOLDINGS LLC,"1260 Apt. 706 N PROSPECT AVE, MILWAUKEE, WI 53202",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-23 00:00:00.000000,439 W AUER AVE,No Contest,Court,Active,11103531,0,No,No,Guilty,4580,4580,2015-02-18,2015-04-20,A
15002183,MITCHELL MARKET COMPANY LLC,"731 Apt. 900 N JACKSON ST, MILWAUKEE, WI 53202",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-29 00:00:00.000000,1302 W FOREST HOME AVE,No Contest,Defense Attorney,Closed,11114881,0,No,No,Guilty,230,0,2015-02-18,2015-04-20,A
15002186,COAKLEY WISCONSIN AVENUE LLC,"2151 Apt. 200 N MARTIN LUTHER KING DRV, Milwaukee, WI 53212",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-03 00:00:00.000000,3742 W WISCONSIN AVE,No Contest,Michael Coakley,Closed,10904992,0,No,No,Guilty,280,0,2015-05-14,2015-07-13,2
15002374,CREATIVE RELIABLE EDUCATION AROUND MILW,"231 W WISCONSIN AVE, MILWAUKEE, WI 53203",Parking,"Ordinance 101-34-1, Contested Parking Citation(s)",2014-10-07 07:27:00.000000,,No Contest,Court,Closed,,0,No,No,Guilty,117,0,2015-02-20,2015-04-21,1
15002430,MICHAEL C COPELAND LIFE ESTATE,"4928 N 40 ST, Milwaukee, WI 53209",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-04-02 00:00:00.000000,2842 N 12 ST,No Contest,Court,Active,10787601,0,No,No,Guilty,1630,1630,2015-02-18,2015-04-20,A
15002443,ACME PROPERTY MANAGEMENT LLC,"1026 E PLEASANT ST, MILWAUKEE, WI 53202",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-04-16 00:00:00.000000,2458 S 9 PL,No Plea,,Closed,10149211,0,No,No,Dismissed without Prejudice,0,0,2015-02-25,2015-02-25,A
15002446,3717 19 WEST GALENA LLC,"8440 N PORT WASHINGTON RD, MILWAUKEE, WI 53217",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-10-03 00:00:00.000000,3717 W GALENA ST,No Contest,Donneva Falson,Closed,10494091,0,No,No,Guilty,330,0,2015-04-30,2015-07-29,2
15002447,WELLS FARGO HOME MORTGAGE NA,"11200 W PARKLAND AVE, Milwaukee, WI 53224",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-16 00:00:00.000000,2129 E BENNETT AVE,No Contest,Court,Closed,10978641,0,No,No,Guilty,10000,0,2015-02-18,2015-09-03,2
15002448,ROSENBLATT PROPERTY EXCHANGE LLC,"2022 E EDGEWOOD AVE, MILWAUKEE, WI 53211",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-08-08 00:00:00.000000,177 N BROADWAY,No Contest,Court,Closed,11034311,0,No,No,Guilty,280,0,2015-02-18,2015-04-20,A
15002449,F & S REALTY LLC,"3133 Apt. D W WISCONSIN AVE, Milwaukee, WI 53208",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-26 00:00:00.000000,2521 N 51 ST,No Contest,Court,Active,10947741,0,Yes,No,Guilty,5030,5030,2015-02-25,2015-04-27,A
15002675,MORRIS CATHEDRAL LIFE CENTER CHURCH OF G,"9619 W LISBON AVE, MILWAUKEE, WI 53222",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2013-12-13 00:00:00.000000,9619 W LISBON AVE,No Contest,Court,Active,10619421,0,No,No,Guilty,280,280,2015-02-25,2015-05-26,A
15002697,ROYAL REAL ESTATE INVESTMENT MANAGEMENT,"230 Apt. 400 W WELLS ST, MILWAUKEE, WI 53203",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-04-10 00:00:00.000000,2918 N 48 ST,No Contest,Defense Attorney,Closed,10813201,0,No,No,Guilty,995,0,2015-04-30,2015-07-29,3
15002698,ELRA 2121 LLC,"2976 N MARTIN L KING JR DRV, MILWAUKEE, WI 53212",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-05-01 00:00:00.000000,2626 W VLIET ST,No Contest,Court,Closed,10856722,0,No,No,Guilty,430,0,2015-02-25,2015-04-27,A
15002890,OC PARRILLI LLC,"8687 N 107TH ST, MILWAUKEE, WI 53224",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-15 00:00:00.000000,3037 N 5 ST,No Contest,Court,Closed,11092192,0,No,No,Guilty,3030,0,2015-02-25,2015-04-27,A
15002891,OLYMPIA THEATRE LLC,"14201 W OVERLAND TRL, NEW BERLIN, WI 53151--3059",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-09-25 00:00:00.000000,2840 N OAKLAND AVE,No Contest,Defendant,Closed,11110511,0,No,No,Guilty,280,0,2015-02-26,2015-05-27,3
15002892,THE MCR GROUP LLC,"7301 W CALUMET RD, MILWAUKEE, WI 53223",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-05-08 00:00:00.000000,1950 S 7 ST,No Contest,Court,Closed,10864321,0,No,No,Guilty,530,0,2015-02-26,2015-04-27,3
15002897,DOLPHIN PROPERTIES LLC,"11065 CATHEDRAL CRT, WAUWATOSA, WI 53226",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-21 00:00:00.000000,1800 W MITCHELL ST,No Contest,Defense Attorney,Closed,10990711,0,No,No,Guilty,330,0,2015-07-16,2015-09-14,3
15002899,GARDNER PROPERTIES GROUP 5 LLC,"7201 W BURLEIGH ST, Milwaukee, WI 53210",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-18 00:00:00.000000,5305 N SHERMAN BLV,No Contest,RA,Closed,10982431,0,No,No,Guilty,1030,0,2015-04-30,2015-07-29,3
15002900,JIB LLC,"3000 W LINCOLN AVE, MILWAUKEE, WI 53215",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-07-23 00:00:00.000000,3300 W LINCOLN AVE,No Contest,Defendant,Closed,10996511,0,No,No,Guilty,250,0,2015-06-11,2015-08-10,3
15002901,KG FAMILY INVESTMENTS LLC,"4325 N MAYFAIR RD, WAUWATOSA, WI 53222",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-05-28 00:00:00.000000,3225 W BURLEIGH ST,No Contest,Kennis Griffin,Closed,10900501,0,No,No,Guilty,530,0,2015-05-21,2015-07-20,3
15002902,A&A ASSOCIATES INVESTMENT LLC,"1740 LAKE SHORE RD, GRAFTON, WI 53024",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-06 00:00:00.000000,2319 W CAPITOL DRV,No Contest,Court,Active,10921791,0,No,No,Guilty,1730,1730,2015-02-26,2015-04-27,3
15002903,3140 DEVELOPMENT LLC,"3140 W FOND DU LAC AVE, MILWAUKEE, WI 53210",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2014-06-17 00:00:00.000000,3140 W FOND DU LAC AVE,No Contest,Court,Active,10936841,0,Yes,No,Guilty,650,650,2015-02-26,2015-04-27,3
15002997,SMITHSTONIAN MATERIALS LLC,"PO BOX 787, BROOKFIELD, WI 53008",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-30 09:21:00.000000,27TH ST N / CENTER ST W,No Contest,Jim Smith,Closed,I1016746,161.8,No,No,Guilty,161.8,0,2015-03-04,2015-06-02,1
15002998,SMITHSTONIAN MATERIALS LLC,"PO BOX 787, BROOKFIELD, WI 53008",Traffic citation,"Statute TR327.03(5), Interstate/Intrastate Driving Rqmts",2014-12-30 09:21:00.000000,27TH ST N / CENTER ST W,No Contest,Jim Smith,Closed,I1016750,161.8,No,No,Guilty,161.8,0,2015-03-04,2015-06-02,1
15002999,SMITHSTONIAN MATERIALS LLC,"PO BOX 787, BROOKFIELD, WI 53008",Traffic citation,"Statute TR327.03(4), Violation of Out of Service Notice",2014-12-30 09:21:00.000000,27TH ST N / CENTER ST W,No Contest,Jim Smith,Closed,I1016783,161.8,No,No,Guilty,161.8,0,2015-03-04,2015-06-02,1
15003000,SMITHSTONIAN MATERIALS LLC,"PO BOX 787, BROOKFIELD, WI 53008",Traffic citation,"Statute TR327.03(4), Violation of Out of Service Notice",2014-12-30 09:21:00.000000,27TH ST N / CENTER ST W,No Contest,Jim Smith,Closed,I1016794,161.8,No,No,Guilty,161.8,0,2015-03-04,2015-06-02,1
